"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"121"	5160	46.551756358942	44.6019041828429	53.4446106957677	61.8777588117493	76.4579115494214	41.0469881181792	40.7450378905984	52.4308315543661	59.9632639137253	75.4462260054269
"122"	5203	44.3265972380991	44.5217633557133	54.1511806178576	62.0332770040086	77.5386900913524	40.2030199979714	40.7242459284153	52.0943065870199	58.6673966773255	75.684537663248
"123"	5246	44.0782611520408	44.8284823526002	53.2172343369666	60.2040059295691	77.2566579224	38.9907664606644	41.2000221854252	50.7205705140183	58.334018155206	74.783276044142
"124"	5289	44.5467502523625	45.0802038909708	52.4043418213507	58.9992505044418	76.5693475391475	38.9854119498803	41.9392006517693	49.783174107677	58.4753582258305	74.3294014634729
"125"	5332	44.3273888123737	44.2944459918652	52.058647261553	59.5342220475191	76.1602770651788	39.1667932715424	41.8001640449033	49.8946995017187	57.9899237891996	74.4646669684255
"126"	5375	43.3864581673649	42.5500202666428	52.1437182752248	59.9278683002364	74.9337498457198	38.6692324786146	40.7483770292737	49.6642766935612	57.1390059363598	73.2100086429952
"127"	5418	42.4869914574091	41.5703777174634	53.4620792743142	61.0794955760504	75.1220517103925	39.1725701108826	39.6530970008469	48.8873346664465	57.4982948082157	72.0332881254271
"128"	5461	42.4115014741738	40.7598931944855	53.3384603777352	60.874275245623	74.878494041159	38.4711181609734	37.7573466791012	47.9292863142971	57.6941953022994	71.4912586883153
"129"	5504	42.7993922198977	41.2953433031156	52.7488023154094	60.573119582245	73.0823494822384	38.1641841513085	36.9878769656198	48.6956310443976	57.4761282143631	71.1969532562963
"130"	5547	42.4683299755497	41.2113689482259	51.790093487346	59.7026297019853	71.5023332822369	37.7724375155063	37.2843469615383	47.8450949666373	58.0207597965801	71.3392500337026
"131"	5590	42.0098322721072	40.9312505097205	51.6952163990141	59.8903070679279	71.0819163385655	37.4664561120642	37.7694928802216	47.4407626209907	58.3911730104064	71.1127056007392
"132"	5633	42.708091955631	41.9764489082039	52.4702292329891	61.4055254214508	72.2086355455622	38.1151929566388	38.8310147603542	49.0988119205	59.1326953794847	70.9541479023095
"133"	5676	43.4922442427406	40.9940221511917	51.5864377448821	60.8993598948308	72.1567294462438	37.8446348095763	38.5893861818738	49.6736006443675	58.2086122255296	70.2892609079783
"134"	5719	44.9736293715699	41.1053464003703	52.0363472476503	61.4189427510273	72.2570330092785	38.6061800702022	38.9100468443582	49.9402059941672	58.549276646509	70.1795092303918
"135"	5762	45.1289144749803	42.0130897155465	53.5229933028284	62.0845012392866	72.8379763776767	39.1243530089066	38.9042787279044	50.5015484675447	58.8551038284222	70.6390266246755
"136"	5805	45.3057861804344	42.8108906533425	55.7244628414314	62.9366884572477	74.9646734426424	39.4172873663208	39.2454756485362	51.7374070512961	59.6617805641993	72.2129754687964
"137"	5848	44.9587980786611	42.5915362638104	55.3445614401495	62.197943451626	75.5726982535286	38.2919703949817	38.323808307306	51.4861924424717	59.6141111836185	72.3005812200765
"138"	5891	44.416197840052	43.1966949073736	54.7708646923567	60.7988301373717	74.1425657766044	38.4981798178971	38.7866798287368	49.9313161686867	57.195965358966	70.9573502930502
"139"	5934	44.6968976372316	43.6206718769721	54.2529253780375	59.422373273438	74.1514378356691	39.2003643962345	39.9185732263742	48.6571780785154	54.5496359791625	70.2312915394275
